title,lat,lon,region,num,cat
Ottobeuren,47.9333,10.3,DE: Bayern,443,2
Ravensburg,47.78153,9.61835,DE: Baden-Württemberg,27,2
Salem,47.76403,9.29598,DE: Baden-Württemberg,29,2
Schlier,47.7718,9.6669,DE: Baden-Württemberg,25,2
Schluchsee,47.8167,8.18333,DE: Baden-Württemberg,7,2
Schwäbisch Gmünd,48.7989,9.7989,DE: Baden-Württemberg,1,2
Singen (Hohentwiel),47.75831,8.84134,DE: Baden-Württemberg,7,2
Starnberg,48.01032,11.33255,DE: Bayern,4,2
Sulzberg,47.52405,9.91429,AT: Vorarlberg,1,2
Tettnang,47.6689,9.5909,DE: Baden-Württemberg,75,2
Überlingen,47.7683,9.17165,DE: Baden-Württemberg,123,2
Unterwaldhausen,47.9,9.46667,DE: Baden-Württemberg,18,2
Vogt,47.7862,9.7602,DE: Baden-Württemberg,152,2
Waldburg,47.7667,9.71667,DE: Baden-Württemberg,53,2
Waltenhofen,47.6667,10.3,DE: Bayern,1,2
Wangen im Allgäu,47.6939,9.829,DE: Baden-Württemberg,823,2
Wasserburg a.Inn,48.0561,12.21625,DE: Bayern,1,2
Wilhelmsdorf,47.8667,9.41667,DE: Baden-Württemberg,317,2
Wolfegg,47.8167,9.8,DE: Baden-Württemberg,98,2
